proposition,auteur,age
Il faut mettre fin à l'obsolescence programmée et que les entreprises misent plus sur les pièces détachables / les services de réparation,Léa,
Il faut mettre en place des circuits de distribution des restes et invendus pour limiter le gaspillage alimentaire,Loïc,
"Il faut interdire l’élevage en batterie (intensif, surpeuplé, aux hormones) au profit de l’élevage en petite structure (raisonné ou bio)",Romain,35
"Il faut tendre vers le zéro déchet: composts collectifs, encadrement strict des emballages, surtaxer ce qui ne peut pas être recyclé",elisabeth,
"Il faut revenir vers des appareils (ménager, numérique, etc) qui durent dans le temps afin d'éviter la sur-consommation",Jean-Louis,
Il faut relocaliser au maximum la production des produits de première nécessité,AL,45
"Il faut taxer d'avantage les produits qui ne sont pas éco-responsables et diminuer les taxes sur ceux  en circuit court, sourcés...",Mag,
Il faut relocaliser les productions stratégiques en Europe. ,Jean-Marc ,63
Il faut revoir des possibilités de télé-travail quand c'est possible une à deux fois dans la semaine pour limiter les déplacements,malaurie,
"Il faut favoriser la relocalisation des productions essentielles et autres industries (au moins en Europe), pour limiter les flux ",Girard,58
Il faut repenser une vie régionale de proximité avec des circuits courts les échanges avec les proximités immédiates pour palier au manque.,Robert,68
Il faut que les cantines scolaires cuisinent des produits bio et locaux pour booster des filières agroalimentaires locales,Sandrine,
Il faut favoriser les circuits courts pour les fournitures agricoles ,Thierry,62
Il faut mettre en place une filière de consigne du verre pour réutiliser les contenants plutôt que les recycler,david,46
Il faut favoriser la production et la consommation locales pour réduire les transports ,Denis,
"Il faut favoriser le recyclage et la réparation à grande échelle des produits de consommation, au détriment de la surproduction.",Sébastien,46
Il faut sanctionner l'obsolescence des électro-ménagers et développer des coopératives de réparateurs en tout genre.,Magali,
Il faut revoir la politique agricole commune pour qu'elle encourage davantage une agriculture de produits locaux et biologiques,Carine,35
"Il faut forcer les grandes surfaces à privilégier les circuits courts pour protéger nos éleveurs, producteurs, agriculteurs...",adeline,
Il faut réduire drastiquement la fabrication d'emballages et suremballages plastiques non recyclables.,Sébastien,46
Il faut revenir à une indépendance alimentaire pour rétablir une économie locale et humaine,severine,
"Il faut taxer lourdement les entreprises qui polluent, et soutenir celles qui produisent et distribuent de manière responsable.",Sarah,46
Il faut revaloriser les métiers à valeur ajoutée sociale et environnementale,Nicolas,54
Il faut ajuster la TVA et taxes de douanes des produits au regard de norme respectant les ODD (objectifs de développement durable).,Neda,35
Il faut développer et favoriser une agriculture maraîchère locale et bio ainsi que la distribution vers les commerces et cantines locaux. ,Julien,34
Il faut obligatoirement privilégier les services courts (producteur consommateur) et pas seulement au niveau agricole,sifdin,50
Il faut accompagner les agriculteurs vers les changements de pratiques : maintient de l’enherbement pour éviter l'érosion des sols notamment,Sophie,56
"Il faut faire prendre conscience que les circuits courts profitent à tous : prix plus bas, meilleur salaire pour les exploitants",Domisolinde,
"Il faut réduire au maximum les emballages (lois pour les grands groupes, bacs de recyclage en supermarché) ""tu hyper-emballes, tu recycles""",Régine,52
Il faut vendre dans du verre plutôt que dans du plastique et remettre en place les consignes pour en récupérer ou en recycler un maximum,Jérôme,45
Il faut normaliser la valorisation les déchets auprès des industries et ainsi basculer vers des modes de productions propres et dynamiques ,Maxime,
Il faut encourager la consommation locale,Geneviève,
"Il faut empêcher l'accaparement des terres agricoles par des fonds d'investissements étrangers, et garantir la souveraineté alimentaire ",laurent,47
"Il faut réapprendre à suivre les saisons, et surtout réduire les circuits et les élevages intensifs (poissons, poulets, bestiaux...). ",Joséphine,
"Il faut plus réglementer la pêche intensive, interdire totalement le chalut profond. Forte entrave à la reconstitution des ressources en mer",Thomas,36
Il faut obliger la récupération d'eau de pluie pour les parties communes des nouvelles constructions,charles,45
"Il faut gérer durablement et respectueusement nos forêts et prôner le développement d'un écosystème local (débardage doux, scieries ..)",Samuel,49
Il faut encourager les circuits courts et de proximité,Julien,
Il faut orienter le plan massif d'investissement vers l’indépendance énergétique du pays avec uniquement des moyens locaux et renouvelables.,Benoit,38
Il faut interdire l’obsolescence programmée auprès des constructeurs et favoriser les filières de recyclages à échelle locale,Acenutorz,
"Il faut repenser notre alimentation vers plus de local, de saison, de végétal et moins d'emballage. ",Emilie,
Il faut développer l'habitat autonome en énergie,PATRICE,63
Il faut organiser des réseaux de produits locaux pour relancer l'économie au niveau local tout en réduisant l'impact des transports,Remi,
Il faut interdire le suremballage aux industriels. Exemple un carton pour emballer un dentifrice... ,Jen,32
"Il faut consommer davantage local, en passant par les circuits courts. ",Amandine,
"Il faut prioriser les producteurs locaux, du département ou région, fruits, légumes, lait , oeufs, volailles etc dans les grandes surfaces ",Nicole,64
Il faut développer une agriculture locale et biologique,Carine,35
"Il faut repenser à notre système de consommation, consommer local, le pouvoir est dans notre assiette ! ",Jeeff,
Il faut arrêter l'obsolescence programmée et investir dans les services de réparation (pièces de rechange).,Isabelle,39
"Il faut revaloriser les salaires des métiers au service de l'humain : santé, éducation et bien être (aide aux personnes âgées...). ",isa,45
Il faut privilégier les circuits courts,anne-marie,
Il faut que tout projet d’aménagement urbain implique obligatoirement une végétalisation significative.,Franck,
"Il faut Réduire fortement la pollution lumineuse (obligation d'éteindre les immeubles de bureaux, développer éclairage public sensible) ",Michele ,54
Il faut proposer un modèle paysan bio et local pour modifier en profondeur l'agriculture et l'élevage intensif en nous détoxifiant du pétrol,Vincent,
"Il faut encourager le déploiement de l'agroécologie, permettant restauration des sols, production de nourriture saine et création d'emploi",Benoit,
Il faut favoriser le circuit court pour diminuer l'empreinte carbone et permettre aux agriculteurs d'être mieux rémunérés,Veronique,
Il faut privilégier les produits produits localement,Antoine,
Il faut reprendre la main sur les graines et les semences pour garantir une diversité et une pérennité dans l'approvisionnement ,Ginette,65
Il faut réapprendre à nous approvisionner en circuit court en alimentation et limiter l'implantation des super/hypermarchés,Pascale,
"Il faut relocaliser en Europe les activités stratégiques, permettant au passage de réduire les émissions de CO2 (médicaments & agriculture)",Alexandre,
Il faut de l'agriculture locale ,Flo,
Il faut modifier notre consommation et se diriger vers les producteurs locaux et bio,Émilie ,40
Il faut intégrer l’agroécologie comme le système incontournable en agriculture ,Annie,46
Il faut mettre en avant les produits locaux,Fabienne,
