proposition,auteur,age,votes,adhesion,engagement,score
Il faut mettre fin à l'obsolescence programmée et que les entreprises misent plus sur les pièces détachables / les services de réparation,Léa,,2665,0.974066666666667,0.6514806378132117,1.6255473044798787
Il faut réduire drastiquement la fabrication d'emballages et suremballages plastiques non recyclables.,Sébastien,46,692,0.944433333333333,0.6341463414634152,1.5785796747967482
Il faut relocaliser au maximum la production des produits de première nécessité,AL,45,1513,0.9411,0.6140350877192976,1.5551350877192975
"Il faut repenser à notre système de consommation, consommer local, le pouvoir est dans notre assiette ! ",Jeeff,,479,0.971003344481605,0.5627118644067796,1.5337152088883845
Il faut revoir la politique agricole commune pour qu'elle encourage davantage une agriculture de produits locaux et biologiques,Carine,35,626,0.940903010033445,0.5894736842105265,1.5303766942439716
"Il faut permettre aux agriculteurs de vivre dignement de leur travail, en favorisant le commerce local ",Martine,63,328,0.960838926174497,0.5694444444444451,1.530283370618942
"Il faut employer l'eau de pluie dans les bâtiments pour alimenter les toilettes et arroser les cultures, et développer le compost végétal ",Edouard,,1792,0.944777070063694,0.5800000000000003,1.5247770700636942
Il faut favoriser le recours aux circuits courts de distribution alimentaire,David,48,755,0.971003344481605,0.5420875420875421,1.513090886569147
Il faut apporter de la végétation dans les villes de manière à diminuer les effets d'îlot de chaleur urbain,Léa,26,946,0.941458333333333,0.5714285714285715,1.5128869047619045
"Il faut favoriser le recyclage et la réparation à grande échelle des produits de consommation, au détriment de la surproduction.",Sébastien,46,589,0.95748322147651,0.552083333333334,1.509566554809844
Il faut revenir à la consigne; Arrêter les emballages à usage unique. ,Clara,,246,0.919525862068966,0.5879629629629624,1.5074888250319285
Il faut accélérer fortement la conversion à l'agriculture biologique ainsi qu'aller plus loin en promouvant la permaculture.,Jon,,46,0.755333333333333,0.75,1.505333333333333
"Il faut encourager la végétalisation des villes pour les climatiser, produire de la biodiversité et des denrées alimentaires.",Coline,29,450,0.928006644518272,0.5763888888888884,1.5043955334071604
Il faut aider les entreprises qui diminuent leur empreinte carbone et stopper les aides aux lobbys et grosses entreprises polluantes,marilyne,56,188,0.879122807017544,0.6242038216560505,1.5033266286735945
Il faut de l'agriculture locale ,Flo,,486,0.943872053872054,0.5594405594405596,1.5033126133126136
Il faut privilégier les circuits courts de consommation,Fatima,61,385,0.933993288590604,0.5678571428571423,1.5018504314477463
"Il faut revaloriser les salaires des métiers au service de l'humain : santé, éducation et bien être (aide aux personnes âgées...). ",isa,45,1155,0.89742474916388,0.6037037037037041,1.5011284528675841
Il faut abandonner l'obsolescence programmée des produits technologiques pour en allonger l'usage.,Sasha,50,483,0.943872053872054,0.5563380281690139,1.5002100820410678
"Il faut favoriser les circuits courts, consommer moins, mieux et de manière plus locale (ex.Une pastille de couleur sur les produits locaux)",Jérémy ,,319,0.944247491638796,0.5555555555555556,1.4998030471943515
Il faut diminuer la déforestation et encourager la replantation partout sur la planète,Audrey,,42,0.931538461538462,0.5675675675675679,1.4991060291060299
Il faut établir une TVA allégée sur les produits made in France et les produits conçus en économie circulaire / upcycling,Nathalie,45,599,0.904113712374582,0.5949820788530461,1.4990957912276281
"Il faut reboiser, oui, mais surtout pas en monoculture, il faut assurer une biodiversité.",Claudie,,389,0.94050505050505,0.5583038869257954,1.4988089374308453
"Il faut encourager le déploiement de l'agroécologie, permettant restauration des sols, production de nourriture saine et création d'emploi",Benoit,,320,0.944247491638796,0.5543859649122808,1.4986334565510768
Il faut favoriser la production et la consommation locales pour réduire les transports ,Denis,,728,0.938382838283828,0.559726962457337,1.4981098007411648
Il faut favoriser les produits alimentaires locaux et non ultra-transformés ,Alexandre,48,163,0.945126582278481,0.5519480519480522,1.497074634226533
"Il faut privilégier le circuit court pour l'alimentation périssable : fruits, légumes et viande",nicolas,,376,0.960969899665552,0.5344827586206902,1.4954526582862422
"Il faut ne plus utiliser de pesticides, remettre des haies dans les champs afin que les oiseaux et abeilles y reviennent .",Christine,,114,0.896725663716814,0.5980392156862747,1.4947648794030886
Il faut que la réparation d’appareils électroménagers soit toujours plus économe et plus facile que de racheter un neuf,Antoine,36,643,0.890735785953177,0.6036363636363635,1.4943721495895406
Il faut mettre fin à l’agriculture intensive et encourager la diversité des semences favorisant la régénération des sols et la biodiversité,Adrien,,105,0.875851063829787,0.6162790697674424,1.4921301335972292
Il faut développer la pratique de l'agroforesterie (arbres dans les champs et cultures) et replanter des haies (refuge de la biodiversité),Edouard,,107,0.915,0.5744680851063835,1.4894680851063835
"Il faut consigner les bouteilles et contenants en plastique, en verre et en métal sur le territoire national comme le font les allemands. ",Nadia,,156,0.878137931034483,0.6106870229007628,1.4888249539352458
Il faut entreprendre de vastes opérations de reforestation et créer des zones sanctuarisées pour l'écosystème et la biodiversité.,Josy,,197,0.930384615384615,0.5581395348837211,1.4885241502683362
Il faut réduire les pesticides et les insecticides pour préserver la faune et la flore (ex. les abeilles) et utiliser les solutions bio,Edouard,,59,0.988448275862069,0.49999999999999994,1.488448275862069
Il faut vendre dans du verre plutôt que dans du plastique et remettre en place les consignes pour en récupérer ou en recycler un maximum,Jérôme,45,775,0.900769230769231,0.586080586080586,1.486849816849817
Il faut favoriser les circuits courts pour les produits agricoles de consommation courante,Martina,,338,0.964314381270903,0.5220338983050844,1.4863482795759873
"Il faut imposer des normes très strictes en termes d'emballages, notamment plastiques, et bannir les emballages non indispensables",Aline,,564,0.947766666666667,0.5379310344827586,1.4856977011494257
"Il faut interdire l’élevage en batterie (intensif, surpeuplé, aux hormones) au profit de l’élevage en petite structure (raisonné ou bio)",Romain,35,1369,0.910802675585284,0.5739436619718308,1.4847463375571148
Il faut relocaliser la production de médicaments (fabriqués en Asie à 80%),DELPHINE,,298,0.904405594405595,0.5801526717557248,1.48455826616132
"Il faut intensifier d’urgence la lutte contre le trafic d'espèces sauvages, et mettre un terme au commerce d’espèces à haut risque",WWF France,,252,0.919638554216867,0.5641025641025637,1.4837411183194307
"Il faut inventer une sorte de jachère marine afin de laisser aux animaux marins le temps de reconstituer leurs ""stocks"".",Céline,43,322,0.885769230769231,0.5960784313725491,1.4818476621417802
Il faut faire revenir la production en France des secteurs essentiels à notre vie. ,Stephane,,395,0.921362126245847,0.5602836879432631,1.4816458141891102
Il faut réapprendre à nous approvisionner en circuit court en alimentation et limiter l'implantation des super/hypermarchés,Pascale,,358,0.904750830564784,0.5740072202166062,1.4787580507813902
"Il faut soutenir les pratiques agricoles respectueuses de l'environnement (permaculture, agro-écologie...) et circuits courts",Maeva,,246,0.947951219512195,0.5303030303030296,1.4782542498152247
"Il faut forcer les grandes surfaces à privilégier les circuits courts pour protéger nos éleveurs, producteurs, agriculteurs...",adeline,,774,0.900436241610738,0.5776173285198556,1.4780535701305935
