id;created_at;body;locale;author/id;author/name;alignment;depth;user_group/id;user_group/name/en;user_group/name/ca;user_group/name/es;commentable_id;commentable_type;root_commentable_url;user_group/name
272;2025-01-29 11:08:56 UTC;Eum autem omnis et dolores perspiciatis harum beatae porro nam voluptas omnis qui est qui cum est qui ullam aut non ad voluptate similique in laboriosam ut explicabo fuga consequuntur dolores cupiditate qui architecto ipsum nisi est ab ut odit voluptatem magnam necessitatibus minima ut nihil natus eius sed aut.;en;3;Morgan Hand Esq.;0;0;;"";"";"";2;Decidim::Proposals::Proposal;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/2;
273;2025-01-29 11:08:56 UTC;Omnis blanditiis quidem nobis temporibus repellat odit tenetur rerum voluptas autem doloribus nam dicta est quibusdam aut non numquam consequatur soluta illo commodi eveniet et rerum reprehenderit sed dolores vitae consequatur exercitationem ad earum ut id qui odio fugiat quia dolorem hic quo iste quam eos aut fugit magni aut.;en;2;Kristofer Mitchell;0;1;8;;;;272;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/2;Schiller Inc
274;2025-01-29 11:08:57 UTC;Quo nulla cumque dolor enim hic rerum libero reiciendis voluptatem sint assumenda eligendi quaerat iusto facilis porro et temporibus et aut quia exercitationem tempora iste aut est et laborum maxime quisquam vitae et necessitatibus nemo pariatur illo sunt harum deleniti veniam dolores illum nobis voluptas magni officia et alias et.;en;18;Miquel Upton;0;0;;"";"";"";2;Decidim::Proposals::Proposal;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/2;
275;2025-01-29 11:08:57 UTC;Eos quibusdam ducimus ullam laborum praesentium ut soluta modi est quia et repellat officia saepe sit voluptatem adipisci error neque cumque cupiditate ratione illo enim natus sapiente doloribus sunt magnam velit optio necessitatibus enim maiores molestiae autem eaque tempora eius voluptatem explicabo quo illum rem sed quo ea reprehenderit quia.;en;13;Prof. Jenni Bruen;0;0;;"";"";"";2;Decidim::Proposals::Proposal;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/2;
276;2025-01-29 11:08:57 UTC;Non aut et quia velit ad corporis numquam animi in pariatur officiis nobis itaque deleniti eum ut sit cupiditate est deserunt dignissimos et consectetur at voluptatem vel perferendis provident vero aut beatae mollitia repudiandae dolores aspernatur est ut sapiente quam excepturi reiciendis aut similique illum aperiam quaerat qui et expedita.;en;4;Birgit Schinner II;0;1;12;;;;275;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/2;Kunde, Fay and Hagenes
277;2025-01-29 11:08:57 UTC;Omnis veritatis ut nam aut sapiente facilis vel inventore aperiam asperiores perspiciatis dolor veniam voluptas rerum quas ut ducimus debitis facere dolor rerum sunt aut et quam corrupti voluptatibus natus molestias nulla dicta est velit tempore est officiis ea ratione est minima quo officia ab exercitationem voluptas et at rem.;en;3;Morgan Hand Esq.;0;0;;"";"";"";2;Decidim::Proposals::Proposal;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/2;
286;2025-01-29 11:08:59 UTC;Sunt ipsam quo excepturi qui perspiciatis modi in non magnam in facere et recusandae consequatur quis qui necessitatibus iusto eum voluptatum omnis nulla consequatur aut occaecati quibusdam dolor natus non placeat et error ea deserunt sint deleniti debitis voluptatem maiores ex nostrum velit at eligendi rerum eos voluptas qui asperiores.;en;16;Gov. Genaro Terry;0;0;;"";"";"";3;Decidim::Proposals::Proposal;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/3;
295;2025-01-29 11:09:01 UTC;Et error qui accusantium rerum libero reprehenderit est sit vero cum expedita praesentium eos voluptatem voluptatem provident soluta optio minus voluptate odit aliquid ea eum deleniti exercitationem tenetur perferendis molestiae iure eum quia qui magni quia beatae sint repellat ducimus dignissimos id aut nihil laboriosam quia ratione sed unde alias.;en;19;Pres. Katy Robel;0;0;;"";"";"";4;Decidim::Proposals::Proposal;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/4;
296;2025-01-29 11:09:01 UTC;Illum ut suscipit earum aspernatur deserunt sed consequatur doloremque est praesentium ipsa voluptatem eligendi fugiat et illo sit quisquam sit ab iste possimus ut itaque et dolor rem nostrum delectus porro qui repellat facere non perferendis eius enim aliquam explicabo esse iusto corrupti autem maiores officia necessitatibus tempora magni et.;en;17;Augustus Bergnaum;0;0;;"";"";"";4;Decidim::Proposals::Proposal;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/4;
297;2025-01-29 11:09:01 UTC;In reiciendis dolores molestiae id ad occaecati aut suscipit veniam sit qui sapiente voluptate nihil tempora provident modi nihil est ea libero sint sed dolor a corporis deserunt est ipsam tenetur ut officia dolores debitis quaerat necessitatibus in officiis illum aliquid excepturi nobis dolore ea ab architecto velit est error.;en;24;Gov. Marna Johnston;0;0;25;;;;4;Decidim::Proposals::Proposal;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/4;Rod Bartell II
298;2025-01-29 11:09:01 UTC;Voluptas et quia laborum iusto consequuntur et rerum tempore ad voluptatum necessitatibus aperiam cum sed accusamus repudiandae soluta velit ut nihil omnis nihil cupiditate qui in beatae est tenetur qui vero saepe quisquam quibusdam sit quis quia et quaerat ea praesentium quod sint molestiae libero atque nisi blanditiis quo id.;en;20;Yasmine Windler;0;1;;"";"";"";297;Decidim::Comments::Comment;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/4;
299;2025-01-29 11:09:01 UTC;Nihil est et eum aut praesentium non debitis ea ut aut ab nemo magni consectetur modi quod ipsa hic dolorem incidunt est ex laboriosam expedita eius repellat blanditiis rerum autem quo mollitia voluptatem et nam excepturi sit aliquid cupiditate quae cum impedit in dolores molestias rerum eum omnis ipsam minima.;en;16;Gov. Genaro Terry;0;0;;"";"";"";4;Decidim::Proposals::Proposal;https://nightly.decidim.org/processes/premium-horizon/f/7/proposals/4;
