id;taxonomies/ids;taxonomies/32/ca;taxonomies/32/en;taxonomies/32/es;parent/id;title/ca;title/en;title/machine_translations/es;description/ca;description/en;description/machine_translations/es;start_date;end_date;status/id;status/key;status/name/en;status/name/ca;status/name/es;progress;created_at;updated_at;url;component/id;proposal_urls;reference;children_count;comments_count;address;latitude;longitude;status/name/machine_translations/es;taxonomies/36/ca;taxonomies/36/en;taxonomies/36/es;taxonomies/34/ca;taxonomies/34/en;taxonomies/34/es;taxonomies/38/ca;taxonomies/38/en;taxonomies/38/es;taxonomies/42/ca;taxonomies/42/en;taxonomies/42/es;taxonomies/35/ca;taxonomies/35/en;taxonomies/35/es;taxonomies/33/ca;taxonomies/33/en;taxonomies/33/es;taxonomies/44/ca;taxonomies/44/en;taxonomies/44/es;taxonomies/46/ca;taxonomies/46/en;taxonomies/46/es;taxonomies/45/ca;taxonomies/45/en;taxonomies/45/es;taxonomies/43/ca;taxonomies/43/en;taxonomies/43/es;taxonomies/40/ca;taxonomies/40/en;taxonomies/40/es;taxonomies/48/ca;taxonomies/48/en;taxonomies/48/es;taxonomies/47/ca;taxonomies/47/en;taxonomies/47/es;taxonomies/41/ca;taxonomies/41/en;taxonomies/41/es;taxonomies/39/ca;taxonomies/39/en;taxonomies/39/es;taxonomies/37/ca;taxonomies/37/en;taxonomies/37/es;taxonomies/49/ca;taxonomies/49/en;taxonomies/49/es
1;32;Esse eos rerum eos dolor.;Esse eos rerum eos dolor.;Esse eos rerum eos dolor.;;Repudiandae aperiam.;Rerum suscipit.;Nam impedit.;<p>Quis natus aliquam. Qui voluptas quis. Vitae quasi eveniet.</p>;<p>Repellat facere magnam. Vero doloribus maiores. Totam cupiditate aliquid.</p>;<p>Aliquam sit ducimus. A vel libero. Consequuntur ipsa amet.</p>;;;;;"";"";"";61.0;2025-01-29 11:08:12 UTC;2025-01-29 11:08:13 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/1;1;"";NIGHT-RESU-2025-01-1;3;1;15875 Numbers Fall 55309-7101 North Jarrodborough;-66.11116427224914;24.314705374160923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"";;;;1;Error aspernatur.;Ut quae.;Dolor reiciendis.;<p>Non id consequuntur. Sed quia suscipit. Autem qui at.</p>;<p>Corrupti deserunt eius. Tenetur in optio. Perspiciatis necessitatibus voluptatum.</p>;<p>Animi ratione iure. Modi nihil labore. Cupiditate et illum.</p>;2025-01-29;2025-02-08;2;status_1;labore;corrupti;;61.0;2025-01-29 11:08:13 UTC;2025-01-29 11:08:13 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/2;1;"";NIGHT-RESU-2025-01-2;0;5;;;;cupiditate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"";;;;1;Delectus eos.;Adipisci ut.;Est voluptate.;<p>Aperiam aut ut. Aut nostrum adipisci. Omnis quibusdam fuga.</p>;<p>Officiis ipsa in. Et odio fugiat. Exercitationem dolor cumque.</p>;<p>Totam necessitatibus dolorum. Laborum quae sed. Et consectetur ratione.</p>;2025-01-29;2025-02-08;5;status_4;quibusdam;et;;29.0;2025-01-29 11:08:14 UTC;2025-01-29 11:08:14 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/3;1;"";NIGHT-RESU-2025-01-3;0;6;;;;quas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"";;;;1;Nulla est.;Aut sit.;Eaque ea.;<p>Sit omnis in. Mollitia nostrum harum. Omnis a praesentium.</p>;<p>Occaecati quas ipsa. Quo quidem modi. Eum aut accusamus.</p>;<p>Accusantium quia qui. Iure perferendis sit. Velit nesciunt et.</p>;2025-01-29;2025-02-08;5;status_4;quibusdam;et;;75.0;2025-01-29 11:08:14 UTC;2025-01-29 11:08:15 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/4;1;"";NIGHT-RESU-2025-01-4;0;4;;;;quas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;36;;;;;Voluptas rem.;Id aut.;Architecto explicabo.;<p>Perspiciatis nihil facere. In quis occaecati. Et sit aut.</p>;<p>Et sed nesciunt. Et ducimus aspernatur. Excepturi et dignissimos.</p>;<p>Est non esse. Voluptates eveniet aliquam. Nihil reprehenderit hic.</p>;;;;;"";"";"";39.0;2025-01-29 11:08:15 UTC;2025-01-29 11:08:16 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/5;1;"";NIGHT-RESU-2025-01-5;3;10;56188 Towne Isle 99508-1483 Tommieville;-20.632341051474867;51.61146476824234;;Dolorem et eum est aliquam.;Dolorem et eum est aliquam.;Dolorem et eum est aliquam.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"";;;;5;Voluptatibus quis.;Similique in.;Omnis eos.;<p>Et voluptate accusamus. Animi impedit sit. Odio quisquam non.</p>;<p>Officia sed ipsam. Suscipit blanditiis aspernatur. Tempore aliquid illo.</p>;<p>Soluta architecto vel. Aut at optio. Veniam eum magnam.</p>;2025-01-29;2025-02-08;4;status_3;laborum;necessitatibus;;39.0;2025-01-29 11:08:16 UTC;2025-01-29 11:08:17 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/6;1;"";NIGHT-RESU-2025-01-6;0;4;;;;dolorem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"";;;;5;Molestias distinctio.;Necessitatibus facilis.;Voluptas et.;<p>Aut sunt neque. Libero consequatur est. Fugit nihil illum.</p>;<p>Officia sapiente et. Tempore suscipit blanditiis. Ut corporis quos.</p>;<p>Omnis sed corporis. Qui eaque sunt. Voluptas sed voluptatum.</p>;2025-01-29;2025-02-08;3;status_2;deserunt;sit;;11.0;2025-01-29 11:08:17 UTC;2025-01-29 11:08:18 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/7;1;"";NIGHT-RESU-2025-01-7;0;4;;;;inventore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"";;;;5;Quae veniam.;Cum sit.;Et laudantium.;<p>Repudiandae voluptate ullam. Facilis voluptas officiis. Id sunt et.</p>;<p>Officia dolorum consectetur. Et hic quia. Eum minima quod.</p>;<p>Vel assumenda voluptatibus. Ut quo porro. Est eum rerum.</p>;2025-01-29;2025-02-08;4;status_3;laborum;necessitatibus;;42.0;2025-01-29 11:08:18 UTC;2025-01-29 11:08:18 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/8;1;"";NIGHT-RESU-2025-01-8;0;0;;;;dolorem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;34;;;;;Porro cumque.;Voluptas quis.;A perferendis.;<p>Quia blanditiis voluptates. Eum quis mollitia. Magnam voluptatem ad.</p>;<p>Ut iusto distinctio. Consectetur exercitationem nostrum. Laudantium optio quia.</p>;<p>Placeat ad ab. Cumque a omnis. Quia asperiores quo.</p>;;;;;"";"";"";2.0;2025-01-29 11:08:18 UTC;2025-01-29 11:08:19 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/9;1;"";NIGHT-RESU-2025-01-9;3;8;6525 Murray Gateway 41872-7822 East Carmel;-87.4232500199292;85.63302668215084;;;;;Alias voluptatem aut in quam.;Alias voluptatem aut in quam.;Alias voluptatem aut in quam.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"";;;;9;Optio aut.;Quidem itaque.;Aut ut.;<p>Quo nam dolorum. Et inventore ut. Et quos vitae.</p>;<p>Blanditiis sit laboriosam. Quia nihil qui. Asperiores numquam est.</p>;<p>Sit autem ut. Voluptatem magnam aliquid. Omnis nulla enim.</p>;2025-01-29;2025-02-08;5;status_4;quibusdam;et;;2.0;2025-01-29 11:08:19 UTC;2025-01-29 11:08:19 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/10;1;"";NIGHT-RESU-2025-01-10;0;6;;;;quas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
